member_id,paid_on
M001,2024-03-14
M001,2025-03-14
M002,2024-06-01
M002,2025-06-01
M003,2024-01-18
M003,2025-01-18
M004,2024-04-09
M004,2025-04-09
M005,2024-08-22
M005,2025-08-22
M006,2024-02-11
M006,2025-02-11
M007,2024-11-30
M007,2025-08-30
M008,2024-07-17
M008,2025-05-17
M009,2024-02-03
M009,2025-02-03
M010,2024-05-28
M010,2025-05-28
M011,2024-09-14
M011,2025-06-14
M012,2024-10-06
M012,2025-08-06
M013,2025-07-20
M013,2026-07-20
M014,2025-01-12
M014,2026-01-12
M015,2025-06-15
M015,2026-06-15
M016,2025-05-03
M016,2026-05-03
M017,2025-01-27
M017,2026-01-27
M018,2024-02-08
M018,2025-02-08
M018,2026-02-08
M019,2024-04-19
M019,2025-04-19
M019,2026-04-19
M020,2024-07-01
M020,2025-07-01
M020,2026-07-01
M021,2024-02-25
M021,2025-02-25
M021,2026-02-25
M022,2024-11-09
M022,2025-11-09
M022,2026-08-09
M023,2024-09-16
M023,2025-09-16
M023,2026-08-16
M024,2024-03-31
M024,2025-03-31
M024,2026-03-31
M025,2024-06-04
M025,2025-06-04
M025,2026-06-04
M026,2024-01-12
M026,2025-01-12
M026,2026-01-12
M027,2024-02-28
M027,2025-02-28
M027,2026-02-28
M028,2024-07-23
M028,2025-07-23
M028,2026-07-23
M029,2024-08-05
M029,2025-08-05
M029,2026-08-05
M030,2024-05-18
M030,2025-05-18
M030,2026-05-18
M031,2024-02-27
M031,2025-02-27
M031,2026-02-27
M032,2024-09-09
M032,2025-09-09
M032,2026-08-09
M033,2024-01-05
M033,2025-01-05
M033,2026-01-05
M034,2024-09-21
M034,2025-09-21
M034,2026-08-21
M035,2024-11-11
M035,2025-11-11
M035,2026-08-11
M036,2024-03-03
M036,2025-03-03
M036,2026-03-03
M037,2024-04-26
M037,2025-04-26
M037,2026-04-26
M038,2024-06-10
M038,2025-06-10
M038,2026-06-10
M039,2024-03-15
M039,2025-03-15
M039,2026-03-15
