member_id,title,rented,returned
M014,The Breakfast Club,2024-01-06,2024-01-13
M039,Ocean's Eleven,2024-01-10,2024-01-13
M002,Coraline,2024-01-15,2024-01-22
M013,Bend It Like Beckham,2024-01-15,2024-01-22
M011,Little Miss Sunshine,2024-01-20,2024-01-27
M009,Mean Girls,2024-01-30,2024-02-01
M015,Moonrise Kingdom,2024-01-30,2024-02-05
M008,Coraline,2024-02-03,2024-02-04
M039,Clueless,2024-02-07,2024-02-14
M037,The Breakfast Club,2024-02-08,2024-02-11
M032,The Matrix,2024-02-16,2024-02-19
M027,Goodfellas,2024-02-17,2024-02-23
M024,The Dark Knight,2024-02-23,2024-02-28
M028,Ocean's Eleven,2024-02-27,2024-03-02
M035,Napoleon Dynamite,2024-02-28,2024-03-06
M038,The Iron Giant,2024-03-04,2024-03-10
M009,The Princess Bride,2024-03-13,2024-03-16
M028,The Iron Giant,2024-03-20,2024-03-22
M039,Terminator 2: Judgment Day,2024-03-23,2024-03-27
M003,The Matrix,2024-03-24,2024-03-25
M010,The Silence of the Lambs,2024-03-24,2024-03-27
M025,Ferris Bueller's Day Off,2024-03-26,2024-03-28
M037,E.T. the Extra-Terrestrial,2024-03-27,2024-03-29
M031,The Silence of the Lambs,2024-04-07,2024-04-11
M014,The Princess Bride,2024-04-11,2024-04-17
M016,The Dark Knight,2024-04-12,2024-04-14
M020,Die Hard,2024-04-18,2024-04-20
M026,Napoleon Dynamite,2024-04-20,2024-04-26
M036,Spirited Away,2024-04-23,2024-04-28
M011,When Harry Met Sally...,2024-04-30,2024-05-05
M003,Bring It On,2024-05-03,2024-05-09
M031,Do the Right Thing,2024-05-08,2024-05-13
M004,Beetlejuice,2024-05-21,2024-05-28
M017,The Silence of the Lambs,2024-05-24,2024-05-28
M034,The Goonies,2024-05-26,2024-06-01
M019,The Lost Boys,2024-06-01,2024-06-03
M011,Bring It On,2024-06-18,2024-06-21
M035,Point Break,2024-06-20,2024-06-21
M016,The Goonies,2024-06-22,2024-06-23
M007,The Goonies,2024-06-27,2024-07-02
M005,Point Break,2024-07-04,2024-07-10
M003,Back to the Future,2024-07-07,2024-07-08
M005,Eternal Sunshine of the Spotless Mind,2024-07-12,2024-07-19
M002,Ferris Bueller's Day Off,2024-07-25,2024-07-27
M036,The Princess Bride,2024-08-05,2024-08-10
M027,Eternal Sunshine of the Spotless Mind,2024-08-09,2024-08-12
M003,Ghostbusters,2024-08-16,2024-08-19
M026,Back to the Future,2024-08-18,2024-08-25
M006,Die Hard,2024-08-19,2024-08-20
M015,No Country for Old Men,2024-08-23,2024-08-30
M017,The Iron Giant,2024-09-06,2024-09-13
M009,Do the Right Thing,2024-09-08,2024-09-15
M010,Goodfellas,2024-09-19,2024-09-26
M022,Ferris Bueller's Day Off,2024-09-27,2024-10-03
M024,Little Miss Sunshine,2024-09-27,2024-09-30
M019,Little Miss Sunshine,2024-10-04,2024-10-05
M003,The Princess Bride,2024-10-05,2024-10-09
M010,When Harry Met Sally...,2024-10-05,2024-10-06
M023,Ferris Bueller's Day Off,2024-10-05,2024-10-12
M022,The Silence of the Lambs,2024-10-07,2024-10-13
M037,Back to the Future,2024-10-07,2024-10-11
M019,The Iron Giant,2024-10-08,2024-10-11
M008,No Country for Old Men,2024-10-14,2024-10-18
M011,The Lost Boys,2024-10-30,2024-11-04
M027,Little Miss Sunshine,2024-11-03,2024-11-07
M003,Fargo,2024-11-05,2024-11-10
M029,E.T. the Extra-Terrestrial,2024-11-06,2024-11-13
M003,Ghostbusters,2024-11-07,2024-11-13
M020,The Lost Boys,2024-11-13,2024-11-15
M027,Bring It On,2024-11-16,2024-11-19
M018,Do the Right Thing,2024-11-22,2024-11-23
M020,Coraline,2024-12-07,2024-12-12
M013,Do the Right Thing,2024-12-14,2024-12-17
M031,The Iron Giant,2024-12-17,2024-12-21
M036,Die Hard,2024-12-19,2024-12-21
M026,Back to the Future,2024-12-20,2024-12-21
M032,Ghostbusters,2024-12-27,2025-01-01
M010,The Muppet Movie,2026-07-31,2026-08-03
M011,The NeverEnding Story,2026-08-02,2026-08-05
M009,The Last Unicorn,2026-08-15,2026-08-18
