zip_code,neighborhood
78701,Downtown
78702,East Austin
78703,Old West Austin
78704,South Austin
78705,University of Texas
78717,North Austin
78719,Airport Area
78721,East Austin
78722,Cherrywood
78723,Northeast Austin
78724,East Austin
78725,Airport Area
78726,West Austin
78727,Northwest Austin
78728,North Austin
78729,Northwest Austin
78730,West Austin
78731,Rosedale
78732,West Austin
78733,West Austin
78734,Lakeway
78735,West Austin
78736,Lake Travis
78737,West Austin
78738,Bee Cave
78739,Southwest Austin
78741,Riverside
78742,Southeast Austin
78744,Southeast Austin
78745,South Austin
78746,West Austin
78747,Southeast Austin
78748,South Austin
78749,South Austin
78750,Northwest Austin
78751,Hyde Park
78752,North Austin
78753,Northeast Austin
78754,Northeast Austin
78756,Rosedale
78757,Rosedale
78758,North Austin
78759,Northwest Austin
