id,name,description,zip_code,neighborhood,latitude,longitude,property_type,room_type,n_accommodates,n_bathrooms,n_bedrooms,n_beds,amenities,price,minimum_nights,maximum_nights,availability_365,n_reviews,first_review,last_review,n_reviews_per_month,score_rating,score_cleanliness,score_location,score_value,host_id,host_name,host_is_superhost,host_n_listings,url_listing,url_picture
l_934859141300145599,An Exquisite Rooftop Studio,"Introducing an exquisite rooftop studio in the heart of Austin, Texas! Experience the allure of this prime location and enjoy breathtaking views from your cozy, 110-square-foot retreat.<br /><br />Beyond the studio, a captivating backyard beckons, inviting you to embrace the tranquility and serenity of outdoor living.",78757,Rosedale,30.363586101661088,-97.72618273572355,Entire guesthouse,Entire home/apt,1,,1.0,,Free parking on premises;Wifi;Smoke alarm;Air conditioning;Backyard,61.0,3.0,3.0,364,0,,,,,,,,h_384892315,Amanda,f,1,https://www.airbnb.com/rooms/934859141300145599,https://a0.muscache.com/pictures/miso/Hosting-934859141300145599/original/69bf10f3-9087-4c21-8626-2b12c53e9c47.jpeg
l_944156894640610027,Tarrytown bungalow,"Take a break and unwind at this peaceful oasis. Walking distance to the lake, fifteen minutes from downtown, and located in a lush, green neighborhood with lots of trees, this a great place to stay when you're in Austin.",78703,Old West Austin,30.29880979299673,-97.78029667144268,Private room in home,Private room,2,2.0,,2.0,Smoke alarm;Wifi;Free parking on premises;Air conditioning;Washer;TV;Kitchen,149.0,1.0,365.0,360,4,2023-10-16,2025-10-18,0.12,4.5,5.0,4.75,4.25,h_13392053,Julie,f,1,https://www.airbnb.com/rooms/944156894640610027,https://a0.muscache.com/pictures/miso/Hosting-944156894640610027/original/782e738c-439c-41e6-9856-6c8dad9968d8.jpeg
l_1634902892490996951,Central East Gem near running trail,Keep it simple at this peaceful and centrally-located place.,78702,East Austin,30.25177980960467,-97.72844664752483,Entire home,Entire home/apt,6,1.0,2.0,2.0,Smoke alarm;Wifi;Free parking on premises;Air conditioning;Washer;Carbon monoxide alarm;TV;First aid kit;Kitchen;Pets allowed;Fire extinguisher,505.0,2.0,365.0,365,0,,,,,,,,h_266329439,Bino,f,1,https://www.airbnb.com/rooms/1634902892490996951,https://a0.muscache.com/pictures/hosting/Hosting-1634902892490996951/original/c81d9650-25dc-457a-b0d8-3fcadf0f05b4.jpeg
l_1308737991593278409,Empire,"- Accommodate up to 14 guests, 4-bedroom home<br />- The living room offers a large sectional sofa and a massive flatscreen TV perfect for relaxation and movie nights<br />- Fully equipped kitchen and nearby dining table for 6 for preparing delicious dinner!<br />- Additional full bathroom and in-home laundry facilities offer convenience.<br />-Private hot tub, sun loungers, and a BBQ grill for picnic<br />Ring front door camera & driveway.<br />Minutes away from downtown!<br />Private Jucuzzi<br />Shared pool w/3 units w gate code.",78704,South Austin,30.2321,-97.79044,Entire home,Entire home/apt,14,2.0,4.0,7.0,"Refrigerator;Dining table;Air conditioning;Iron;Toaster;Shampoo;Carbon monoxide alarm;Ceiling fan;Private backyard;Cooking basics;BBQ grill;Bidet;TV;Private entrance;Bathtub;Oven;Blender;Keypad;Body soap;Wine glasses;Outdoor dining area;Hot tub - available all year;Single level home;Long term stays allowed;Dishwasher;Portable heater;Dishes and silverware;Coffee maker;Cleaning products;Essentials;Freezer;Hot water;Central heating;Baking sheet;Shared pool - available seasonally, open specific hours;Conditioner;Dedicated workspace;First aid kit;Microwave;Barbecue utensils;Self check-in;Extra pillows and blankets;Smoke alarm;Wifi;Free parking on premises;Fire pit;Dryer – In unit;Washer;Hair dryer;Shower gel;Stove;Kitchen;Pets allowed;Coffee;Fire extinguisher;Hangers;Bed linens",593.0,1.0,365.0,339,41,2025-01-26,2026-06-20,2.39,4.71,4.66,4.8,4.61,h_398748229,Angela,f,4,https://www.airbnb.com/rooms/1308737991593278409,https://a0.muscache.com/pictures/miso/Hosting-1308737991593278409/original/60c8e33b-73cd-4c42-9d08-e2c2f94ed00a.jpeg
l_574582741829434703,Galaxy by AvantStay | Luxury Amenities in Austin,"- Pet-friendly home<br />- Rooftop pool and lounge<br />- Modern chef's kitchen<br />- Bright and airy living room<br />- Yoga room, fitness center, clubroom<br />- Bedrooms with a city view",78701,Downtown,30.25539,-97.73835,Entire home,Entire home/apt,4,1.0,1.0,2.0,Refrigerator;Air conditioning;Iron;Shampoo;Carbon monoxide alarm;Cooking basics;TV;Oven;Keypad;Body soap;Private pool;Long term stays allowed;Dishwasher;Dishes and silverware;Exterior security cameras on property;Cleaning products;Essentials;Hot water;Dryer;Conditioner;Dedicated workspace;First aid kit;Microwave;Self check-in;Extra pillows and blankets;Smoke alarm;Wifi;Wood-burning stove;Washer;Hair dryer;Shower gel;Kitchen;Pets allowed;Coffee;Fire extinguisher;Hangers;Bed linens,278.67,2.0,365.0,357,31,2022-03-14,2026-05-15,0.6,4.84,4.9,4.97,4.9,h_434308464,AvantStay Austin,t,178,https://www.airbnb.com/rooms/574582741829434703,https://a0.muscache.com/pictures/prohost-api/Hosting-574582741829434703/original/0ee75f63-8274-49c3-a3c2-92906363e700.jpeg
l_1228303755231142321,East Side Green Home,"Fun decor and great communal space to hang out in. All the amenities included. Washer/Dryer, covered parking, great location. Just 2 minutes from popular East side area, 7 minutes from downtown, and 15 minutes from ACL festival grounds. Perfect home with plenty of space to relax and hangout.",78702,East Austin,30.27133,-97.70052,Entire home,Entire home/apt,6,1.0,2.0,2.0,Refrigerator;Dining table;Air conditioning;Toaster;BBQ grill;Carbon monoxide alarm;Ceiling fan;Cooking basics;Bidet;TV;Private backyard – Fully fenced;Exercise equipment: stationary bike;Wine glasses;Outdoor dining area;Coffee maker: Nespresso;Free street parking;Private patio or balcony;Dishwasher;Dishes and silverware;Outdoor furniture;Exterior security cameras on property;Hot water kettle;Free dryer – In unit;Freezer;Central heating;Dedicated workspace;Microwave;Gas stove;Extra pillows and blankets;Smoke alarm;Wifi;Free parking on premises;Fire pit;Washer;Kitchen;Fire extinguisher;Single oven;Bed linens,571.0,2.0,5.0,270,1,2024-10-13,2024-10-13,0.05,5.0,5.0,5.0,5.0,h_38015057,Natalie,f,1,https://www.airbnb.com/rooms/1228303755231142321,https://a0.muscache.com/pictures/miso/Hosting-1228303755231142321/original/0ec48fb2-4bf8-480a-ae65-34a77934ce0a.jpeg
l_1629102399632790498,Sweet suite in Westgate - garden views,"This special place is close to everything, making it easy to plan your visit or use as a launch pad into Austin's creative and entrepreneurial scene. <br />Private casita / house in a shared large quarter acre backyard with an easy walk to dozens of spots and parks and great bus, rideshare and transit access. <br />Main house has a music production studio (available with producer) and large kitchen and theater for shared use. The main house has creative, professional and kind people. Private and social.",78745,South Austin,30.22506,-97.79205,Entire home,Entire home/apt,2,1.0,1.0,1.0,Smoke alarm;Wifi;Free parking on premises;Air conditioning;Fire pit;Exercise equipment;Washer;Carbon monoxide alarm;Exterior security cameras on property;TV;Piano;Dedicated workspace;First aid kit;Kitchen;Fire extinguisher,51.01,30.0,365.0,348,0,,,,,,,,h_331231112,Andrew,f,2,https://www.airbnb.com/rooms/1629102399632790498,https://a0.muscache.com/pictures/hosting/Hosting-1629102399632790498/original/9e1c358a-d1de-498a-a38a-8da2eea14185.jpeg
l_745531245085063603,Book Now for Graduation/Memorial Day! |15 minSoCo,"☀️ Welcome to your Texas summer escape! This updated 3BR Franklin Park gem is 10 mins from McKinney Falls. Unwind in a plush King suite, cook up a storm in the full kitchen, then grill & chill on the covered patio. Kids will love the slide & play zone! Close to Go Ape, Erwin Park & Heard Museum. Book now for summer specials & stargazing nights!",78744,Southeast Austin,30.19128,-97.737,Entire home,Entire home/apt,6,2.0,3.0,4.0,"Refrigerator;Dining table;Crib;Iron;Toaster;Shampoo;Central air conditioning;Ceiling fan;Carbon monoxide alarm;Room-darkening shades;Baby safety gates;Cooking basics;BBQ grill;Laundromat nearby;Fire extinguisher;Smart lock;Private entrance;Private backyard – Fully fenced;Bathtub;Blender;Ginger Lilly body soap;Ginger Lilly conditioner;Free washer – In unit;Wine glasses;Outdoor dining area;Single level home;Long term stays allowed;Trash compactor;Bread maker;Dishwasher;50 inch HDTV with Amazon Prime Video, Disney+, Hulu, Netflix, Roku;Children’s dinnerware;Dishes and silverware;Private patio or balcony;Exterior security cameras on property;Cleaning products;Essentials;Ethernet connection;Hot water kettle;Outdoor furniture;Outdoor playground;Hot water;Freezer;Coffee maker: drip coffee maker, Keurig coffee machine;Central heating;Board games;Pack ’n play/Travel crib - always at the listing;Baking sheet;Dedicated workspace;Stainless steel oven;First aid kit;Microwave;Barbecue utensils;Free street parking;Luggage dropoff allowed;Extra pillows and blankets;Self check-in;Smoke alarm;Clothing storage: walk-in closet, closet, and dresser;Wifi;Free parking on premises;Children’s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old;Standalone high chair;Hair dryer;LG stainless steel gas stove;Shower gel;Babysitter recommendations;Kitchen;Pets allowed;Coffee;Free dryer – In unit;Books and reading material;Hangers;Bed linens",300.7,1.0,1125.0,10,75,2022-11-20,2026-06-14,1.71,4.83,4.88,4.39,4.73,h_587285606,Serita,t,36,https://www.airbnb.com/rooms/745531245085063603,https://a0.muscache.com/pictures/miso/Hosting-745531245085063603/original/7544f82d-ea69-4dbd-ac29-d2376b44c7e9.png
l_889831767371295908,ATX Historic Gem | Near DT | 3 Suites for 10,"✔️ Downtown Austin location near museums, dining, and parks<br />✔️ 1903 historic home refreshed for modern comfort<br />✔️ 3 private first‑floor suites — sleeps up to 10<br />✔️ Ensuite baths: jetted tub, clawfoot, accessible roll‑in shower<br />✔️ Shared kitchen, dining room, and upstairs lounge<br />✔️ Personality-packed vibe: murals, chandeliers, vintage charm",78701,Downtown,30.27756,-97.74698,Entire home,Entire home/apt,10,3.0,3.0,5.0,Refrigerator;Dining table;Air conditioning;Iron;Toaster;Shampoo;Carbon monoxide alarm;Ceiling fan;Cooking basics;TV;Private entrance;Oven;Blender;Body soap;Wine glasses;Smart lock;Free street parking;Dishwasher;Dishes and silverware;Outdoor furniture;Exterior security cameras on property;Cleaning products;Essentials;Coffee maker;Hot water;Clothing storage;Heating;Conditioner;Dedicated workspace;Microwave;Self check-in;Smoke alarm;Wifi;Free parking on premises;Patio or balcony;Hair dryer;Indoor fireplace;Shower gel;Stove;Kitchen;Hangers;Bed linens,330.5,2.0,365.0,300,4,2023-11-19,2026-03-18,0.13,5.0,5.0,5.0,5.0,h_447606169,Brandy & Jayda,f,37,https://www.airbnb.com/rooms/889831767371295908,https://a0.muscache.com/pictures/prohost-api/Hosting-889831767371295908/original/fa621084-88aa-423a-be23-d8a5b5b2d93a.jpeg
l_1159629773941508075,"Travis heights 3/2 condo! 1 King, 1 full, 1 full","Travis heights! .05 miles to South Congress. Just south of the river. Walk everywhere, you don’t need an Uber.  3 bed 2 bath condo! Views of downtown from the community’s balcony. Quiet yet surrounded by Austin’s vibrant endless activities.",78704,South Austin,30.25079190885186,-97.74428643286228,Entire condo,Entire home/apt,8,2.0,3.0,4.0,Refrigerator;Dining table;Air conditioning;Iron;Toaster;Shampoo;Carbon monoxide alarm;BBQ grill;Room-darkening shades;Cooking basics;TV;Bathtub;Oven;Blender;Body soap;Wine glasses;Outdoor dining area;Smart lock;Dishwasher;Dishes and silverware;Coffee maker;Cleaning products;Essentials;Hot water kettle;Freezer;Hot water;Pool;Clothing storage;Baking sheet;Heating;Conditioner;Sound system;Dedicated workspace;First aid kit;Microwave;Self check-in;Extra pillows and blankets;Smoke alarm;Wifi;Free parking on premises;Fire pit;Washer;Hair dryer;Shower gel;Stove;Kitchen;Pets allowed;Coffee;Fire extinguisher;Hangers;Bed linens,227.5,2.0,31.0,17,10,2024-06-30,2025-10-19,0.41,4.6,4.7,4.8,4.7,h_4893394,Miguel,t,1,https://www.airbnb.com/rooms/1159629773941508075,https://a0.muscache.com/pictures/hosting/Hosting-1159629773941508075/original/0c96e776-6e7c-41a2-9564-8017b7e870fe.jpeg
