record_id,site,observed_on,quality_score
SYN001,North,2026-01-01,0
SYN002,North,2026-01-02,20
SYN003,North,2026-01-03,40
SYN004,North,2026-01-04,60
SYN005,North,2026-01-05,80
SYN006,North,2026-01-06,100
SYN007,North,2026-01-07,
SYN008,North,2026-01-08,-1
SYN009,North,2026-01-09,101
SYN010,North,2026-01-10,50
SYN011,Central,2026-01-01,10
SYN012,Central,2026-01-02,30
SYN003,North,2026-01-03,40
SYN013,Central,2026-01-03,50
SYN014,Central,2026-01-04,70
SYN015,Central,2026-01-05,90
SYN016,Central,2026-01-06,
SYN017,Central,2026-01-07,40
SYN018,Central,2026-01-08,60
SYN019,Central,2026-01-09,80
SYN020,Central,2026-01-10,100
SYN021,South,2026-01-01,5
SYN022,South,2026-01-02,25
SYN023,South,2026-01-03,45
SYN024,South,2026-01-04,65
SYN025,South,2026-01-05,85
SYN026,South,2026-01-06,
SYN027,South,2026-01-07,35
SYN028,South,2026-01-08,55
SYN029,South,2026-01-09,75
SYN030,South,2026-01-10,95
